 155, 254, 161, 192, 163, 164, 165, 222, 166, 170, 168, 169, 223, 171, 220, 136
 251, 224, 177, 178, 179, 180, 181, 182, 183, 184, 185, 176, 173, 189, 252, 253
 137, 209, 215, 197, 210, 212, 217, 213, 201, 207, 208, 219, 221, 251,   0,   0
 148, 193, 211, 196, 198, 199, 200, 202, 203, 204, 187, 186, 167, 162, 141,   0
 144, 218, 216, 195, 214, 194, 206, 205, 172, 174, 175, 191, 144, 156,   0,   0
 129, 130, 131, 160, 160, 160, 160, 160, 160, 160, 188, 190, 158, 157, 159,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0
